240721370,119754134
210148644,	104467771
210148626	,104467762
210148508,	104467703
122738888,	104467673
146054041,	146054148
210148346,	104467622
209591618,	104189258
46826374	,22806636
45771754,	22279326
46497980,	22642439
202183868,	100485383
147494290,	22642242
46497884	,22642391
235435692,	,117111295
46497996,	22642447
49352784,	24069841
46498028,	22642463
155644670,	23268107
46497926	,22642412
202416030	,100601464
46498044	,22642471
212739492	,105763195
46497604	,22642251
55015442	,26901170
46498098	,22642498
141471930	,14128489
31140250	,14963574
29470044	,14128471
29470026	,14128462
29470096	,14128497
128798955	,14128454
31140234	,14963566
130319741	,14128519
233540510	,116163704
29470104	,14128501
29469994	,14128446
138001197	,138001308
152935240	,14126656
138037990	,160534585
29466464	,14126681
29466398	,14126648
138037990	,14128438
126694443	,136791310
133557243	,133557294
146076214	,134544218
140600370	,136482945
143591436	,156419912
155836749	,143591509
37550946	,18168922
29472462	,14129680
211670236	,105228567
31140284	,14129701
32034972	,15410935
31140284	,14963591
29471664	,14129281
29471646	,14129272
29472522	,14129710
29471630	,14129264
29472558	,14129728
29471614	,14129256
29471598	,14129248
29472692	,14129795
239323752	,119055325
36612168	,17699533
222558968	,110672933
29471562	,14129230
29472590	,14129744
34944338	,16737687
29472606	,14129752
136932151	,14129191
29472624	,14129761
29472676	,14129787
29471528	,14129213
29471512	,14129205
37952812	,18369855
29471436	,14129167
29471420	,14129159
29472736	,14129817
29472752	,14129825
